True,Series,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,Country,COUNT_NAN,COUNT_TOT,COVERAGE_PERCENT
SP.RUR.TOTL,Rural population,9754662.0,9786593.0,9815124.0,9839489.0,9859106.0,9873711.0,9915878.0,9966624.0,10013913.0,10059227.0,10102573.0,10144715.0,10183917.0,10220684.0,10252814.0,10279222.0,10298708.0,10312933.0,10320766.0,10323159.0,10320832.0,10313978.0,10301818.0,10283437.0,10258117.0,10225220.0,10185476.0,10140105.0,10088363.0,10029830.0,9965274.0,,0,31,1.0
NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)",3.55976807678235,-0.90640394088669,-0.404550160791601,3.39756697027913,6.88013529889599,5.96377998866171,10.3232368365355,6.10121981763989,3.75389251632406,4.62255656568567,2.44906835459457,2.72268975369818,-0.444321470072822,4.23639527648956,3.64779278765228,5.54301810325508,-2.6864310137359,1.33591253525115,0.707501023703799,-7.23010090190067,3.17588720424209,0.805278700575556,2.84842995307446,4.83242151191251,6.20328393389009,4.27597590347695,7.09972253957891,6.07253886010363,3.81353010137231,0.993091537132983,3.26021420506244,,0,31,1.0
NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)",2.21365544418759,3.2024741438556,-1.89385633654119,2.80870508182751,1.75448484653251,1.64668644906043,3.37547487077305,6.38442074823782,2.769165427904,4.29874226832543,5.82606341176705,3.46167901343746,1.25877905291544,1.70929571632443,2.53997315315486,3.73301669827512,-1.23526633646011,0.650095568825847,0.0387861351980376,-0.0475976676677874,3.84937488854631,1.76764328968856,4.55078379426723,3.09008597422699,2.97731759401839,2.81370161276008,2.13141997942441,3.93108970219799,-0.805188995750399,-0.232995114618561,0.303852142032042,,0,31,1.0
IS.AIR.DPRT,"Air transport, registered carrier departures worldwide",65500.0,69400.0,157900.0,158800.0,133300.0,124100.0,123900.0,118200.0,118600.0,127000.0,116900.0,124500.0,147100.0,167200.0,181500.0,193700.0,195200.0,224800.0,234700.0,208600.0,199370.0,190465.0,179994.0,171933.0,153204.0,162095.0,175006.0,185872.0,187382.0,196298.0,226094.0,,0,31,1.0
BX.TRF.PWKR.CD,"Personal transfers, receipts (BoP, current US$)",68000000.0,99000000.0,71000000.0,63000000.0,71000000.0,105000000.0,393000000.0,616000000.0,448000000.0,459000000.0,488000000.0,866000000.0,630000000.0,454600000.0,965500000.0,809250000.0,745300000.0,757700000.0,788390000.0,1297365679.111,1578027887.011,2021390693.14,2453709821.79449,3060095189.966,3169898835.3209,3313715037.20109,3860943411.90309,4429737167.11039,4784914245.52759,4090279515.20547,3996348681.91662,,0,31,1.0
NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth),10.8753486376311,13.2345827125138,5.33335611815069,-2.15040680083378,-5.89166694299837,-9.64314972560129,4.35198003392669,9.21448457557108,8.00934123745736,-7.32671228537018,-1.17251929272834,-8.73738552938205,42.9849247185021,38.2016142926476,26.7126670469694,6.06589820153532,-12.0199398459832,-0.644834384492484,-6.30813594811303,-38.6299754013628,12.2633042326792,8.42395911545681,10.0703674746355,11.3551032005668,11.1832033243494,11.4728067238466,16.9338099630996,15.7970514274444,9.08332197847118,-6.2955734249356,9.5620948794428,,0,31,1.0
EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),637.274210583681,634.260051276143,659.352218560617,664.062076918574,720.358471158557,755.1952686761,809.322659114428,785.115326395541,804.6186904013,851.482786858149,871.593984140627,871.192435833907,778.70425007222,872.80962627972,910.288879061365,920.47436457616,911.092011203789,917.749464442914,894.268727439805,827.729239793733,845.597516929425,865.909134042177,873.26441602488,876.412886434516,912.183735921561,909.216014329109,961.04477080235,988.579322939083,988.453907506709,1065.60765267456,1094.56094161916,,0,31,1.0
BM.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net outflows (% of GDP)",0.317358279558998,0.101680847984111,0.0744199610939503,0.269247294486886,0.060125813414151,0.0200605189449691,0.0915790497168809,0.0714809899995558,0.112208973768402,0.073343300906383,0.0334419564936133,0.0494147846594115,0.0855886140790892,0.361191182500171,0.182320693798308,0.276951606520789,0.337512256148623,0.758878447809364,0.808581868756427,0.134054039538507,0.325715963690265,0.0164129556355356,0.874582646329747,0.990779258773778,0.164371869333257,3.29319096536638,0.784409169977179,0.620227500396366,1.27386069177773,1.50804240183236,1.9132465702512,,0,31,1.0
SP.POP.GROW,Population growth (annual %),2.2082209566614,2.1917480422461,2.17718336547948,2.1556696617838,2.12616368108118,2.09163715171379,2.05310349784513,2.01709678109149,1.99032422181212,1.97570136053333,1.96794438406062,1.96162497706366,1.94852533515923,1.92400427953526,1.8848931896675,1.83561868415374,1.78227406582073,1.73109765499368,1.68362475992525,1.64204828834622,1.60375190216718,1.56724440399711,1.52695418393204,1.47772152838485,1.4171664654293,1.34976822034893,1.2887279460493,1.23447805438202,1.17615946658969,1.11249247002773,1.05064996242948,,0,31,1.0
SP.POP.TOTL,"Population, total",26900508.0,27496608.0,28101824.0,28714183.0,29331230.0,29951194.0,30572479.0,31195417.0,31822527.0,32457497.0,33102569.0,33758328.0,34422568.0,35091272.0,35758978.0,36421438.0,37076387.0,37723803.0,38364307.0,38999468.0,39629965.0,40255956.0,40875363.0,41483872.0,42075953.0,42647731.0,43200901.0,43737512.0,44254972.0,44750054.0,45222699.0,,0,31,1.0
